City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,whitehorse,60.7161,-135.0538,-12.23,77,0,4.61,CA,1704937122
83,west island,-12.1568,96.8225,78.78,94,100,5.75,CC,1704937123
84,tofol,5.3248,163.0078,82.24,76,95,18.84,FM,1704937124
85,chui,-33.6971,-53.4616,71.2,97,100,5.14,UY,1704937124
86,altay,47.8667,88.1167,30.87,89,100,1.95,CN,1704937125
87,itoman,26.1247,127.6694,63.37,49,75,21.85,JP,1704937125
88,harper,4.375,-7.7169,79.2,84,56,10.6,LR,1704937126
89,qaqortoq,60.7167,-46.0333,28.08,95,92,3.13,GL,1704937127
90,cherepanovo,54.2222,83.381,6.33,88,100,21.12,RU,1704937127
91,happy valley-goose bay,53.3168,-60.3315,7.11,61,100,4.61,CA,1704937128
92,pariaman,-0.619,100.12,80.65,89,100,6.15,ID,1704937129
93,port alfred,-33.5906,26.891,68.18,97,99,4.63,ZA,1704937130
94,daru,-9.0763,143.2092,85.51,66,100,3.4,PG,1704937130
95,polyarnyy,69.1989,33.4478,22.28,73,100,21.9,RU,1704937131
96,kizilcahamam,40.4697,32.6506,31.62,85,88,5.77,TR,1704937131
97,neiafu,-18.65,-173.9833,88.48,66,20,9.22,TO,1704937133
98,guiyang,26.5833,106.7167,45.09,100,100,4.47,CN,1704937134
99,trairi,-3.2778,-39.2689,80.44,75,7,8.34,BR,1704937135
100,quiberon,47.4841,-3.1196,34.07,79,41,10.0,FR,1704937135
101,dunedin,-45.8742,170.5036,82.08,32,100,3.09,NZ,1704937136
102,puerto baquerizo moreno,-0.9,-89.6,76.68,82,31,7.18,EC,1704937136
103,puerto natales,-51.7236,-72.4875,46.81,91,100,6.98,CL,1704937137
104,magadan,59.5667,150.8,-7.31,86,93,4.76,RU,1704937137
105,wickenburg,33.9686,-112.7296,47.44,39,9,5.64,US,1704937138
106,rio grande,-32.035,-52.0986,74.95,87,100,6.58,BR,1704937045
107,cranbrook,49.4999,-115.7688,19.24,93,75,0.0,CA,1704937005
108,amga,60.8953,131.9608,-36.29,98,83,0.94,RU,1704937139
109,quellon,-43.1167,-73.6167,52.36,91,66,8.21,CL,1704937140
110,radashkovichy,54.1551,27.2424,32.16,98,100,17.94,BY,1704937216
111,roxas,11.5853,122.7511,80.15,84,41,10.6,PH,1704937216
112,ribeira grande,38.5167,-28.7,61.77,92,51,30.0,PT,1704937217
113,yeonil,35.9942,129.345,40.62,47,2,10.96,KR,1704937217
114,santa elena de uairen,4.6167,-61.1333,68.45,84,100,4.29,VE,1704937218
115,murghob,38.1702,73.9667,7.83,72,3,5.77,TJ,1704937219
116,olyokminsk,60.3736,120.4264,-18.56,100,79,2.82,RU,1704937219
117,narvik,68.4384,17.4272,33.39,95,100,5.39,NO,1704937220
118,iskateley,67.6803,53.1512,-10.98,96,77,8.99,RU,1704937221
119,candolim,15.5181,73.7626,77.0,65,20,6.91,IN,1704937221
120,arraial do cabo,-22.9661,-42.0278,76.77,90,84,19.19,BR,1704937219
121,karratha,-20.7377,116.8463,97.61,29,23,10.47,AU,1704937222
122,turpan,42.9333,89.1667,26.2,60,99,1.5,CN,1704937223
123,hermanus,-34.4187,19.2345,62.4,90,4,9.98,ZA,1704937224
124,brandon,27.9378,-82.2859,55.9,88,0,3.44,US,1704937056
125,port saint john's,-31.6229,29.5448,70.59,91,97,3.78,ZA,1704937226
126,antofagasta,-23.65,-70.4,69.08,80,55,3.42,CL,1704937226
127,rikaze,29.25,88.8833,28.98,18,0,1.36,CN,1704937227
128,taltal,-25.4,-70.4833,69.15,75,2,4.81,CL,1704937227
129,yarmouth,41.7057,-70.2286,46.02,69,0,19.57,US,1704937228
130,kavieng,-2.5744,150.7967,84.36,70,100,1.77,PG,1704937229
131,lihue,21.9789,-159.3672,72.99,75,20,9.22,US,1704937229
132,avarua,-21.2078,-159.775,82.45,69,75,10.36,CK,1704937230
133,abadan,30.3392,48.3043,64.35,77,0,13.8,IR,1704937230
134,barcelos,41.5388,-8.6151,46.92,94,10,5.08,PT,1704936932
135,hami,42.8,93.45,23.76,59,7,2.95,CN,1704937232
136,la ronge,55.1001,-105.2842,-21.75,69,0,6.91,CA,1704937232
137,hurghada,27.2574,33.8129,59.04,25,0,18.41,EG,1704936967
138,dryden,49.7833,-92.7503,12.49,85,100,8.05,CA,1704937234
139,villa gesell,-37.2639,-56.973,68.05,72,50,6.02,AR,1704937126
140,quelimane,-17.8786,36.8883,80.55,89,20,3.44,MZ,1704937235
141,vilyuchinsk,52.9306,158.4028,3.47,69,100,5.61,RU,1704937235
142,saint-denis,48.9167,2.3333,31.08,78,75,9.22,FR,1704937236
143,coquimbo,-29.9533,-71.3436,62.33,82,0,8.05,CL,1704937236
144,puerto ayora,-0.7393,-90.3518,77.56,93,5,1.01,EC,1704937238
145,nouadhibou,20.931,-17.0347,64.38,59,0,6.91,MR,1704937238
146,enewetak,11.3474,162.3373,81.07,81,8,18.81,MH,1704937239
147,port lincoln,-34.7333,135.8667,71.82,61,0,10.67,AU,1704937239
148,ilulissat,69.2167,-51.1,28.42,86,100,9.22,GL,1704937240
149,rio pomba,-21.2747,-43.1792,72.5,92,100,3.2,BR,1704937240
150,eforie sud,44.0229,28.6494,22.01,79,8,13.51,RO,1704937241
151,beira,-19.8436,34.8389,77.09,94,20,4.32,MZ,1704937241
152,acarau,-2.8856,-40.12,80.62,77,7,12.08,BR,1704937176
153,saint-francois,46.4154,3.9054,33.24,94,100,4.61,FR,1704937242
154,ziro,27.6333,93.8333,27.34,61,0,1.92,IN,1704937243
155,fort bragg,35.139,-79.006,44.82,76,0,0.0,US,1704937074
156,udachny,66.4167,112.4,-31.56,73,59,3.65,RU,1704937244
157,severo-yeniseyskiy,60.3725,93.0408,-0.38,74,100,15.84,RU,1704937244
158,cole harbour,44.6724,-63.4751,43.99,93,97,7.0,CA,1704937245
159,inarajan village,13.2736,144.7484,86.14,84,92,6.46,GU,1704937245
160,dogonbadan,30.3586,50.7981,37.49,70,0,0.0,IR,1704937246
161,north perth,43.7251,-80.9672,28.98,92,100,11.77,CA,1704937246
